"customer_id","last_buy","freq","monetary","recency_days","r","f","m","rfm_code","segment","churn_status","buyer_type"
"14646","2011-12-08","73","280206.02",24,5,5,5,"555","Champion","Active","Loyal"
"18102","2011-12-09","60","259657.30",23,5,5,5,"555","Champion","Active","Loyal"
"17450","2011-12-01","46","194550.79",31,5,5,5,"555","Champion","Active","Loyal"
"16446","2011-12-09","2","168472.50",23,5,3,5,"535","Developing","Active","Occasional"
"14911","2011-12-08","201","143825.06",24,5,5,5,"555","Champion","Active","Loyal"
"12415","2011-11-15","21","124914.53",47,4,5,5,"455","Loyal","Active","Loyal"
"14156","2011-11-30","55","117379.63",32,5,5,5,"555","Champion","Active","Loyal"
"17511","2011-12-07","31","91062.38",25,5,5,5,"555","Champion","Active","Loyal"
"16029","2011-11-01","63","81024.84",61,3,5,5,"355","Developing","Active","Loyal"
"12346","2011-01-18","1","77183.60",348,1,1,5,"115","Lost","Churned","One-Time"
"16684","2011-12-05","28","66653.56",27,5,5,5,"555","Champion","Active","Loyal"
"14096","2011-12-05","17","65164.79",27,5,5,5,"555","Champion","Active","Loyal"
"13694","2011-12-06","50","65039.62",26,5,5,5,"555","Champion","Active","Loyal"
"15311","2011-12-09","91","60767.90",23,5,5,5,"555","Champion","Active","Loyal"
"13089","2011-12-07","97","58825.83",25,5,5,5,"555","Champion","Active","Loyal"
"17949","2011-12-08","45","58510.48",24,5,5,5,"555","Champion","Active","Loyal"
"15769","2011-12-02","26","56252.72",30,5,5,5,"555","Champion","Active","Loyal"
"15061","2011-12-06","48","54534.14",26,5,5,5,"555","Champion","Active","Loyal"
"14298","2011-12-01","44","51527.30",31,5,5,5,"555","Champion","Active","Loyal"
"14088","2011-11-29","13","50491.81",33,5,5,5,"555","Champion","Active","Loyal"
"15749","2011-04-18","3","44534.30",258,1,3,5,"135","At Risk","Churned","Occasional"
"12931","2011-11-18","15","42055.96",44,4,5,5,"455","Loyal","Active","Loyal"
"17841","2011-12-08","124","40991.57",24,5,5,5,"555","Champion","Active","Loyal"
"15098","2011-06-10","3","39916.50",205,1,3,5,"135","At Risk","Churned","Occasional"
"13798","2011-12-08","57","37153.85",24,5,5,5,"555","Champion","Active","Loyal"
"16013","2011-12-06","47","37130.60",26,5,5,5,"555","Champion","Active","Loyal"
"16422","2011-11-22","51","34684.40",40,4,5,5,"455","Loyal","Active","Loyal"
"12748","2011-12-09","209","33719.73",23,5,5,5,"555","Champion","Active","Loyal"
"15838","2011-11-28","19","33643.08",34,5,5,5,"555","Champion","Active","Loyal"
"17404","2011-12-05","15","31906.82",27,5,5,5,"555","Champion","Active","Loyal"
"17389","2011-12-09","34","31833.68",23,5,5,5,"555","Champion","Active","Loyal"
"13098","2011-12-08","28","28882.44",24,5,5,5,"555","Champion","Active","Loyal"
"14680","2011-11-14","16","28754.11",48,4,5,5,"455","Loyal","Active","Loyal"
"13081","2011-11-28","11","28337.38",34,5,5,5,"555","Champion","Active","Loyal"
"13408","2011-12-08","62","28117.04",24,5,5,5,"555","Champion","Active","Loyal"
"17857","2011-12-05","23","26879.04",27,5,5,5,"555","Champion","Active","Loyal"
"16333","2011-12-02","22","26626.80",30,5,5,5,"555","Champion","Active","Loyal"
"13777","2011-12-09","33","25977.16",23,5,5,5,"555","Champion","Active","Loyal"
"12753","2011-11-17","6","21429.39",45,4,5,5,"455","Loyal","Active","Loyal"
"12744","2011-10-19","7","21279.29",74,3,5,5,"355","Developing","Active","Loyal"
